"","Residential","NonResidential","Road","NonRoad","Agriculture","Total"
"CZ008L1",139790.25289771,44620.0270297527,45612.9794664383,938.726924702525,100145.63212353,331107.618442133
"CZ009L1",148887.954518318,76355.8176174164,47227.5347394943,709.681041814387,89198.7411749065,362379.72909195
"CZ010L1",209688.299463272,82397.9409346581,32366.6243286133,494.886521786451,90052.9187777042,415000.670026034
"CZ011L1",186586.567423344,31692.7508955002,25259.9179503918,179.311241567135,43167.0048244745,286885.552335277
"CZ013L1",89129.9029551204,20876.7377901077,27615.9700966179,246.995689470321,64036.1134592779,201905.719990594
"CZ014L1",55264.8247394562,25813.044574976,32282.2575933933,86.3910022825003,109731.390858769,223177.908768877
"CZ016L1",55791.2766182423,84862.160525322,20632.2289547026,408.732869490981,28772.175254561,190466.574222319
"CZ018L1",62343.9457827806,39801.5385475159,18970.5609761328,255.743815615773,55126.2059890926,176497.995111138
"DE001L1",22442092.5794708,5243729.8919642,2875580.21488675,40596.4307615831,584195.126591789,31186194.2436751
"DE002L1",12721247.435338,4011831.43508554,1882836.73419893,137416.803387166,350996.598335828,19104329.0063455
"DE003L2",7030547.99895763,1276052.35333967,1720216.89751458,11735.043552421,219462.215668771,10258014.5090331
"DE004L1",5189171.96377182,1890386.87400675,1569838.80612564,22820.8991274834,49862.6298944205,8722081.17292611
"DE005L1",6182621.80582714,1939494.63519955,2102576.13759458,24932.030103147,106544.148263894,10356168.7569883
"DE007L1",6451065.97077274,1475827.46185541,1614330.09889269,6195.77970860898,120485.010564707,9667904.32179416
"DE008L2",2699929.64000416,1522801.18714046,586708.380074382,5135.16033000499,274897.752633393,5089472.1201824
"DE009L2",2877458.19755426,923736.136682034,582117.316523135,4255.0511505059,279852.933089897,4667419.63499983
"DE011L1",5806938.25488663,2358984.42883682,1429287.47960091,14312.2598896027,46368.4148836359,9655890.83809759
"DE012L1",3602744.58441353,1702929.61857259,975070.600336552,14664.4457380101,329485.029275222,6624894.2783359
"DE013L1",3691115.34106088,1614485.41251564,1244448.92896515,8942.0225636214,154801.595622148,6713793.30072744
"DE014L1",2478995.05487108,874040.635287404,756010.44401288,4996.89186999202,80886.1029186826,4194929.12896004
"DE017L0",1602863.52497101,388561.470982552,228645.81281662,681.290500164032,9082.13232749701,2229834.23159784
"DE018L1",1012282.63495731,850985.214042664,309191.121095419,2450.35552231967,134569.086234391,2309478.41185211
"DE019L2",824635.426021576,811420.767700076,339783.751055688,4960.98683110997,271634.493442982,2252435.42505143
"DE020L1",1218210.54945135,447006.923801899,389778.688786089,17533.2109836787,17436.7429450303,2089966.11596805
"DE021L1",832137.620313555,298067.846593142,280115.164632678,1434.64517053962,110743.191323468,1522498.46803338
"DE025L1",655695.211133957,133497.633922577,221040.969798565,1062.84731611609,22015.2711664438,1033311.93333766
"DE026L1",257915.384458506,35748.5482404232,152489.277341366,379.62072258722,21483.8111596555,468016.641922538
"DE027L1",798424.990438461,209864.425093174,213126.231901228,3574.26154984534,48780.3016822236,1273770.21066493
"DE028L1",609432.638532639,196968.111379385,233159.999497175,1287.982920371,122250.987094194,1163099.71942376
"DE029L0",92871.0358839035,27729.5844669342,18693.3601551056,237.902616918087,5296.12116730213,144828.004290164
"DE030L1",159780.328219414,59670.4984922409,65471.6529479027,104.179092250764,68363.5505374074,353390.209289216
"DE031L1",379305.540211201,187921.316586494,163771.891138643,428.477706387639,249476.736489324,980903.96213205
"DE032L1",394374.15037632,397756.43649292,281048.018364191,751.273670639843,173127.767219446,1247057.64612352
"DE033L2",1152789.70521545,392516.066956997,280350.14862752,2205.35655583441,86187.4268528223,1914048.70420863
"DE034L1",2395288.24715424,317727.065086842,545628.826423645,4587.91110014915,26311.0082001239,3289543.057965
