"FUA","month","days","monthlyE","dailyE","meanDailyE","sdDailyE","cvDailyE"
"DE542L1","Jan","31","168502.62682672","5812.98399569464","0.0669690901682543","19.4551288177572","29050.9080665091"
"DE542L1","Feb","29","168509.966268674","6214.14129554681","0.0715906648027881","20.7968633364518","29049.6860082822"
"DE542L1","Mar","31","168499.357450169","5812.87456229277","0.0669678294293011","19.4551286266946","29051.4546947258"
"DE542L1","Apr","30","168492.506291361","6006.39860246222","0.0691973433769452","20.1036310724319","29052.6053332995"
"DE542L1","May","31","168482.589214738","5812.31581292148","0.0669613922987232","19.4551276970268","29054.2460799427"
"DE542L1","Jun","30","168481.660140225","6006.02675210135","0.0691930594359668","20.1036304656956","29054.4031866376"
"DE542L1","Jul","31","168481.447381012","5812.2781253735","0.0669609581153846","19.4551276370835","29054.4343818365"
"DE542L1","Aug","31","168481.231859766","5812.27248372169","0.0669608931201448","19.45512762814","29054.4625700147"
"DE542L1","Sep","30","168485.099864278","6006.14497317239","0.0691944214141817","20.103630655028","29053.8315721904"
"DE542L1","Oct","31","168498.293391887","5812.8366125348","0.0669673922251448","19.4551285611242","29051.644262503"
"DE542L1","Nov","30","168498.847547662","6006.61880582756","0.0691998802528492","20.1036314472334","29051.5408029274"
"DE542L1","Dec","31","168511.864267731","5813.2913389134","0.0669726309479545","19.4551293700993","29049.3729971847"
"DE544L1","Jan","31","0.00016651259215826","5.55065965158647e-06","7.49967525750753e-11","1.74852234171504e-10","233.146407234725"
"DE544L1","Feb","29","0.00019259872953514","6.85922286258542e-06","9.26771721151356e-11","2.18540926645793e-10","235.808799144511"
"DE544L1","Mar","31","0.00012361743925335","4.12663501138739e-06","5.57562964301382e-11","1.27696271786428e-10","229.025742314914"
"DE544L1","Apr","30","0.000111291886745666","3.84162414407176e-06","5.19054226891823e-11","1.19295353824187e-10","229.832159423007"
"DE544L1","May","31","6.52569804422189e-05","2.18956889934131e-06","2.95839715092324e-11","7.84340572374422e-11","265.123488281365"
"DE544L1","Jun","30","5.50221883118155e-05","1.91152635345012e-06","2.58272490062439e-11","7.61739042044667e-11","294.936190014086"
"DE544L1","Jul","31","4.64883164555554e-05","1.56672417730748e-06","2.11685156097319e-11","7.12447430526986e-11","336.559938193989"
"DE544L1","Aug","31","4.62287688928972e-05","1.5582855467478e-06","2.10544985508809e-11","7.12042906298079e-11","338.190389373243"
"DE544L1","Sep","30","6.68347130774164e-05","2.31695462012895e-06","3.13051210631918e-11","8.21898128030838e-11","262.54430588905"
"DE544L1","Oct","31","0.000109258467073616","3.65046202657891e-06","4.93225696722006e-11","1.13556956749245e-10","230.233253263056"
"DE544L1","Nov","30","0.000135541834078359","4.67359903271467e-06","6.31465037117585e-11","1.4504735354853e-10","229.699737946887"
"DE544L1","Dec","31","0.000170356453485734","5.67840400562271e-06","7.67227477385115e-11","1.79020703028925e-10","233.33458238366"
"DE546L0","Jan","31","71088.3967944864","2365.79792292907","0.222453965484633","17.2046328539346","7734.01940327428"
"DE546L0","Feb","29","74961.842158231","2666.7534918667","0.250752561529544","19.3932516849488","7734.0193721865"
"DE546L0","Mar","31","69146.1467101228","2301.16046895682","0.216376160691756","16.7345741735024","7734.0193670143"
"DE546L0","Apr","30","64575.8146551476","2220.69672327697","0.208810223157214","16.1494231185174","7734.0193762249"
"DE546L0","May","31","60417.162221196","2010.66272347564","0.189060904887226","14.622007068632","7734.01940361706"
"DE546L0","Jun","30","59692.5411074723","2052.76593336467","0.193019833884784","14.928191685933","7734.01954891531"
"DE546L0","Jul","31","59999.0469504309","1996.74811045117","0.187752525665366","14.5208168060992","7734.01942511277"
"DE546L0","Aug","31","60640.3399190548","2018.09002939225","0.189759288142196","14.6760200831399","7734.01936043438"
"DE546L0","Sep","30","61380.1075373712","2110.79950351185","0.198476681101255","15.3502249464273","7734.01936250449"
"DE546L0","Oct","31","67371.9806672604","2242.11688895156","0.21082434310781","16.3051955419399","7734.01937441439"
"DE546L0","Nov","30","68756.4006404409","2364.46277716277","0.222328422864388","17.1949233143254","7734.01938123477"
"DE546L0","Dec","31","75669.4632085018","2518.25422201531","0.23678930155292","18.3133306794439","7734.01946766207"
"DE547L2","Jan","31","175571.80863633","5842.97082662184","0.107171145022411","19.4316612977742","18131.4301472759"
"DE547L2","Feb","29","185138.320359545","6586.26074387086","0.120804489065863","21.9035811775182","18131.429839148"
