"FUA","month","days","dailyS","meanDailyS","sdDailyS","cvDailyS"
"ES040L0","Aug","31","121.192193809224","0.00652588411012997","0.0120720373347946","184.987001470888"
"ES040L0","Sep","30","156.333533539588","0.00841815376337237","0.0154314271882237","183.311301052331"
"ES040L0","Oct","31","160.365515109513","0.00863526547356163","0.015855890611677","183.61787092965"
"ES040L0","Nov","30","126.977618318928","0.00683741415749978","0.0126420487844283","184.895173719462"
"ES040L0","Dec","31","82.9935166663907","0.0044689847970702","0.00829358524822091","185.580968045764"
"ES041L0","Jan","31","9.50615059988522","0.00100201861493467","0.00244675777051945","244.182865872105"
"ES041L0","Feb","29","11.4520621624343","0.00120713209259347","0.00294135424447617","243.664654640802"
"ES041L0","Mar","31","35.1830513014747","0.00370855394766256","0.00906621751278374","244.467726254812"
"ES041L0","Apr","30","56.3400801706061","0.00593866134400824","0.0145643638045227","245.246579335886"
"ES041L0","May","31","114.82586626527","0.0121034959697766","0.0298837361769811","246.901690648746"
"ES041L0","Jun","30","77.5640707815489","0.0081758270034309","0.0199428191359809","243.924181952629"
"ES041L0","Jul","31","49.3249798568694","0.00519921786200795","0.0127063436162297","244.389520760003"
"ES041L0","Aug","31","36.8306573193725","0.00388222381357357","0.00952136529831204","245.255445217304"
"ES041L0","Sep","30","32.5198544596756","0.00342783329394704","0.00834147245370505","243.345336205079"
"ES041L0","Oct","31","20.3958620134427","0.00214987477742623","0.00520775114518471","242.235092009372"
"ES041L0","Nov","30","13.6852393002986","0.00144252548754069","0.00351890651939338","243.940682489612"
"ES041L0","Dec","31","9.07983690008833","0.000957081996425459","0.00232568965901982","242.99795291374"
"ES043L0","Jan","31","75.2949819241074","0.00975829211043383","0.0131968126300387","135.236909089126"
"ES043L0","Feb","29","113.385393534252","0.0146948410490217","0.0198954689773938","135.390841663566"
"ES043L0","Mar","31","191.44304057798","0.0248111768504381","0.0336146748717125","135.481984890689"
"ES043L0","Apr","30","199.067758110963","0.0257993465669989","0.0348260640275778","134.988163119315"
"ES043L0","May","31","256.927482524161","0.0332980148424262","0.0450812918778877","135.387325914841"
"ES043L0","Jun","30","297.641651421094","0.0385746049016451","0.0525096212428455","136.124845288062"
"ES043L0","Jul","31","302.171400910319","0.0391616641926282","0.0533039299415463","136.112524941114"
"ES043L0","Aug","31","268.445001038061","0.0347906947949794","0.0472262570174905","135.74393180646"
"ES043L0","Sep","30","199.351861967537","0.0258361666624594","0.035023149547814","135.558614423646"
"ES043L0","Oct","31","125.910236098847","0.0163180710340651","0.0220833664769467","135.330741181639"
"ES043L0","Nov","30","83.0612346451863","0.0107648049047675","0.0145497225466212","135.160113679138"
"ES043L0","Dec","31","43.6252584738572","0.00565386968297787","0.00761202708308753","134.633932331428"
"ES044L0","Jan","31","109.825324851514","0.00938677990183881","0.0120545433639234","128.420432672146"
"ES044L0","Feb","29","164.212722554819","0.0140352754320358","0.0180248789186162","128.425544663513"
"ES044L0","Mar","31","261.001825735302","0.0223078483534446","0.0286475241367866","128.419037474598"
"ES044L0","Apr","30","283.342371099873","0.0242172966752028","0.030915148411093","127.657305543721"
"ES044L0","May","31","369.475372640839","0.0315790916787042","0.0403351790219339","127.727483210464"
"ES044L0","Jun","30","419.960257902101","0.0358940391369317","0.0458920595810327","127.854264063065"
"ES044L0","Jul","31","438.548348581487","0.0374827648360246","0.0480753201419517","128.259802477929"
"ES044L0","Aug","31","393.00166156162","0.0335898856035573","0.0430850247553605","128.267852007205"
"ES044L0","Sep","30","295.179667565004","0.0252290314158123","0.0323210431660333","128.110519319327"
"ES044L0","Oct","31","191.763854220014","0.0163900730102576","0.021043720272511","128.393084395298"
"ES044L0","Nov","30","127.42203628292","0.0108907723318735","0.013981623393758","128.380457948227"
"ES044L0","Dec","31","75.4793859277917","0.00645122956647792","0.00824902909400027","127.867548488185"
"ES046L0","Jan","31","56.663310733062","0.00933651519740683","0.0091693080431098","98.2079519474418"
"ES046L0","Feb","29","65.3377879053612","0.0107658243376769","0.0105990631352864","98.4498738827871"
"ES046L0","Mar","31","112.915959157941","0.0186053648307697","0.01833332391291","98.5367162246917"
"ES046L0","Apr","30","135.986397799173","0.0224067223264415","0.0220871008615651","98.5724169456716"
"ES046L0","May","31","166.697258690795","0.0274670058808361","0.0271584072091934","98.8753601217055"
"ES046L0","Jun","30","141.767430946731","0.0233592735123959","0.023029628769162","98.5876942022783"
"ES046L0","Jul","31","136.858863094393","0.0225504799957807","0.0221771443315072","98.3433080253301"
"ES046L0","Aug","31","99.5140770658418","0.016397112714754","0.0160772819082482","98.0483082070734"
"ES046L0","Sep","30","97.4067477055667","0.0160498842816884","0.0157504875498964","98.1333847160607"
"ES046L0","Oct","31","83.884787802377","0.0138218467296716","0.0135774001219263","98.2302492847506"
"ES046L0","Nov","30","56.2012248335467","0.00926037647611578","0.00909676073194252","98.2319947961396"
"ES046L0","Dec","31","54.090213100972","0.008912541291971","0.0087446567353004","98.1151655732985"
"ES048L0","Jan","31","5.83122308547738","0.000247620836786164","0.000916252936118829","370.022550610339"
"ES048L0","Feb","29","5.74562549489795","0.00024398596521712","0.000899595929120415","368.708064137983"
"ES048L0","Mar","31","19.0281278470845","0.000808022754557921","0.0029531094494631","365.473550442125"
"ES048L0","Apr","30","33.6711879591278","0.00142983515050014","0.00502698830658417","351.578173527612"
"ES048L0","May","31","59.9143305423547","0.00254424096744468","0.00826305519470784","324.77486607752"
"ES048L0","Jun","30","35.5861623612392","0.00151115386476025","0.00477288874050689","315.843995228383"
"ES048L0","Jul","31","26.1212726436898","0.00110923065283833","0.00341212704747969","307.612040719272"
"ES048L0","Aug","31","17.4567361361704","0.000741294158400375","0.00228768386804542","308.606757806101"
"ES048L0","Sep","30","19.457808712564","0.000826269001340355","0.00251809990942981","304.755461640822"
"ES048L0","Oct","31","14.7669585091053","0.000627073697783569","0.00200862540961463","320.317279566061"
"ES048L0","Nov","30","11.810229601346","0.000501517244950783","0.00179272445786279","357.46018225928"
"ES048L0","Dec","31","7.29392433685663","0.000309733930819","0.00117652001617897","379.848605242573"
"ES050L0","Jan","31","7.43703269112696","0.00178731859916533","0.00272501700519615","152.463976286529"
"ES050L0","Feb","29","8.51551798566302","0.00204650756685004","0.00313073039165943","152.979174979461"
"ES050L0","Mar","31","20.6805344405396","0.00497008758484489","0.00777182116974571","156.371915727281"
"ES050L0","Apr","30","29.3841862739786","0.00706180876567618","0.0118830868661622","168.272566710101"
"ES050L0","May","31","42.0213101787913","0.0100988488773831","0.0169756063811326","168.09446885724"
"ES050L0","Jun","30","33.2186971386244","0.00798334466201018","0.0123614556907598","154.840561370016"
"ES050L0","Jul","31","29.3819638564545","0.00706127465908544","0.0107777818626658","152.632242520101"
"ES050L0","Aug","31","23.7332304743956","0.00570373238990522","0.00872968917272367","153.052222228623"
"ES050L0","Sep","30","19.111883233266","0.00459309859006633","0.00699488851231199","152.291277340315"
"ES050L0","Oct","31","14.1273450255","0.0033951802512617","0.00516191750245671","152.036626053608"
"ES050L0","Nov","30","9.91575075112361","0.00238302108895064","0.00362221597687865","152.001003838102"
"ES050L0","Dec","31","7.73253123154859","0.00185833483094174","0.00284654947617047","153.17742684336"
"ES053L0","Jan","31","135.879094534766","0.00476835677059116","0.00864274538384588","181.252070674535"
"ES053L0","Feb","29","148.518648787122","0.00521191215564017","0.0094283127925169","180.899303575442"
"ES053L0","Mar","31","346.759988323573","0.0121687250253921","0.021923520052268","180.162835519094"
"ES053L0","Apr","30","594.884700863833","0.0208760773745028","0.0374725214063016","179.499820459896"
"ES053L0","May","31","524.434136065238","0.018403780743446","0.033059854861517","179.636213462771"
"ES053L0","Jun","30","241.238543263468","0.00846569845815089","0.0152435327852994","180.062316897464"
"ES053L0","Jul","31","177.487395775477","0.00622850209767958","0.0112800607837929","181.103909204675"
"ES053L0","Aug","31","116.135341440567","0.00407549626054771","0.00739307380699827","181.40303252308"
"ES053L0","Sep","30","224.309632219644","0.00787161819973483","0.0142264898940817","180.73145232782"
"ES053L0","Oct","31","232.879275327911","0.00817234963952523","0.0148027620471701","181.132265506325"
"ES053L0","Nov","30","208.863503913927","0.00732957270893903","0.0132360467102025","180.584151843668"
"ES053L0","Dec","31","136.862276308575","0.00480285921913866","0.00866999370409888","180.517339953465"
"ES054L0","Jan","31","16.7832417939755","0.00440158452503946","0.0073089933570064","166.053686244748"
"ES054L0","Feb","29","19.3832249313277","0.00508345788914967","0.00843226876266106","165.87663253116"
"ES054L0","Mar","31","30.272476411621","0.00793928046462654","0.0131900837013273","166.137016573426"
"ES054L0","Apr","30","34.235135458004","0.00897853014896513","0.0150074368304561","167.148036276137"
"ES054L0","May","31","39.5626692403839","0.0103757328194031","0.0174097005390012","167.792490824786"
"ES054L0","Jun","30","34.3207061691399","0.00900097198246522","0.0151061362151469","167.827832867107"
"ES054L0","Jul","31","32.7764891141815","0.00859598455656477","0.0143761611460415","167.242752141317"
"ES054L0","Aug","31","25.0877639594957","0.00657953421439697","0.0109899167161116","167.031834746966"
"ES054L0","Sep","30","23.9743752857483","0.00628753613578501","0.0105234148971752","167.369453946865"
"ES054L0","Oct","31","19.8127406315722","0.0051961029718259","0.00872056751679688","167.828997309737"
"ES054L0","Nov","30","13.9856953425549","0.00366789807043138","0.00614322218230126","167.486175033723"
"ES054L0","Dec","31","14.6754699950812","0.00384879884476297","0.00643848898182586","167.285671231861"
"ES055L0","Jan","31","4.65590248718428","0.0037547600703099","0.0088505448767496","235.715324308834"
"ES055L0","Feb","29","6.35086047031672","0.00512166166961026","0.0120047446237597","234.391597847838"
"ES055L0","Mar","31","8.31511832705244","0.00670574058633261","0.0156750944044103","233.756349542639"
"ES055L0","Apr","30","9.11648921799633","0.00735200743386801","0.0171936404571295","233.863208270502"
"ES055L0","May","31","8.54177490751644","0.00688852815122294","0.0161853477449204","234.960900058847"
"ES055L0","Jun","30","7.16223219236269","0.0057759937035183","0.0136657653360465","236.595918165949"
"ES055L0","Jul","31","6.14476258809847","0.00495545370007941","0.0118208911191949","238.543064563503"
"ES055L0","Aug","31","5.00428814701197","0.0040357162475903","0.00959870356002695","237.843866395668"
"ES055L0","Sep","30","4.58655443685468","0.0036988342232699","0.00875951696083912","236.818317126291"
"ES055L0","Oct","31","3.80489935603027","0.00306846722260506","0.00730190615732417","237.965916778639"
"ES055L0","Nov","30","3.4824571115688","0.00280843315449097","0.00670786420745035","238.84720904693"
